2022-11-22 17:22:35,cyb3rops,md5,fc4106f71cdcdf6d6fab5441a6c6d7fb,,https://twitter.com/cyb3rops/status/1595105474403340292
2022-11-22 17:22:35,cyb3rops,md5,8defdaba9b1fc949b429c40c0723030d,,https://twitter.com/cyb3rops/status/1595105474403340292
2022-11-22 17:22:35,cyb3rops,md5,15c3fe7a3022ede934113c335b9d20bb,,https://twitter.com/cyb3rops/status/1595105474403340292
2022-11-22 17:22:35,cyb3rops,md5,5b0028dd161208c993965a33138e282b,,https://twitter.com/cyb3rops/status/1595105474403340292
2022-11-22 19:45:32,malwrhunterteam,url,http://96r1yh643o.de,,https://twitter.com/malwrhunterteam/status/1595141450177871872
2022-11-22 19:45:32,malwrhunterteam,sha256,a2abdf1d3439c9598f76c3732770b98725315efd32db322d926207ed28edf0db,,https://twitter.com/malwrhunterteam/status/1595141450177871872
2022-11-22 13:24:15,MichalKoczwara,ip,23.224.135.138,,https://twitter.com/MichalKoczwara/status/1595045495310880768
2022-11-22 13:24:15,MichalKoczwara,ip,23.224.135.139,,https://twitter.com/MichalKoczwara/status/1595045495310880768
2022-11-22 13:24:15,MichalKoczwara,ip,23.224.135.140,,https://twitter.com/MichalKoczwara/status/1595045495310880768
2022-11-22 13:24:15,MichalKoczwara,ip,23.224.135.141,,https://twitter.com/MichalKoczwara/status/1595045495310880768
2022-11-22 13:24:15,MichalKoczwara,ip,23.224.135.142,,https://twitter.com/MichalKoczwara/status/1595045495310880768
2022-11-22 22:09:49,h2jazi,url,http://cortanaupdater.com,,https://twitter.com/h2jazi/status/1595177760665862153
2022-11-22 22:09:49,h2jazi,md5,eedfd9a8235044458bcdcac771722d9c,,https://twitter.com/h2jazi/status/1595177760665862153
2022-11-22 22:09:49,h2jazi,md5,1467d88e82c42f16a7e0ff896717aabc,,https://twitter.com/h2jazi/status/1595177760665862153
